,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,
t40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
